期次,开奖日期,前区1,前区2,前区3,前区4,前区5,后区1,后区2,销售额,奖池金额
25115,2025-10-11,03,12,14,21,35,01,05,"330,363,634","1,188,143,074.80"
25114,2025-10-08,03,08,09,12,16,01,05,"286,469,363","1,144,042,317.89"
25113,2025-10-06,01,14,18,28,35,02,03,"302,539,540","1,174,480,897.69"
25112,2025-09-29,03,04,21,23,24,09,12,"319,054,991","1,222,244,291.60"
25111,2025-09-27,02,09,14,21,26,02,12,"331,165,537","1,227,497,634.04"
25110,2025-09-24,01,15,22,30,31,02,08,"299,730,589","1,216,735,503.10"
25109,2025-09-22,04,08,10,13,26,09,10,"313,350,591","1,212,757,053.28"
25108,2025-09-20,14,18,21,24,29,03,06,"341,209,503","1,188,449,971.10"
25107,2025-09-17,05,07,08,15,33,06,10,"314,311,008","1,185,080,983.75"
25106,2025-09-15,05,06,11,26,29,05,10,"314,630,148","1,199,200,033.49"
25105,2025-09-13,15,16,25,28,34,10,12,"341,440,186","1,251,025,275.38"
25104,2025-09-10,02,06,09,22,34,02,08,"315,640,944","1,199,979,893.19"
25103,2025-09-08,05,08,19,32,34,04,05,"310,233,728","1,180,433,357.59"
25102,2025-09-06,09,10,13,26,28,02,04,"336,362,587","1,157,865,480.75"
25101,2025-09-03,05,07,19,26,32,08,09,"307,833,370","1,106,707,324.70"
25100,2025-09-01,26,28,32,34,35,02,07,"313,027,593","1,140,476,606.54"
25099,2025-08-30,06,12,20,26,31,02,04,"333,985,688","1,089,336,924.50"
25098,2025-08-27,01,07,09,10,23,10,12,"308,524,554","1,129,247,143.71"
25097,2025-08-25,05,24,25,32,34,01,09,"310,927,488","1,077,551,661.97"
25096,2025-08-23,02,11,17,22,24,07,09,"332,437,847","1,040,644,815.06"
25095,2025-08-20,07,13,14,19,27,06,10,"305,061,816","1,082,529,387.65"
25094,2025-08-18,04,09,17,30,33,05,09,"307,470,270","1,116,595,093.69"
25093,2025-08-16,01,07,09,16,30,02,05,"330,705,608","1,157,754,344.65"
25092,2025-08-13,04,10,17,25,32,05,07,"305,765,437","1,153,953,579.37"
25091,2025-08-11,01,19,22,25,27,03,10,"307,088,100","1,254,338,103.41"
25090,2025-08-09,06,14,19,22,27,01,04,"331,564,816","1,200,005,188.39"
25089,2025-08-06,02,11,12,32,34,03,10,"301,829,705","1,218,712,702.23"
25088,2025-08-04,08,09,10,11,35,05,11,"298,062,525","1,540,665,716.30"
25087,2025-08-02,05,13,14,16,20,03,08,"315,319,154","1,579,681,545.27"
25086,2025-07-30,02,06,23,24,33,01,10,"295,578,823","1,646,600,667.94"
25085,2025-07-28,02,05,09,14,33,04,09,"294,227,352","1,595,323,742.79"
25084,2025-07-26,09,11,13,18,29,04,11,"315,027,700","1,790,261,423.50"
25083,2025-07-23,12,17,18,20,34,02,05,"296,169,217","1,769,075,337.06"
25082,2025-07-21,02,03,04,12,26,01,08,"296,090,839","1,735,099,174.42"
25081,2025-07-19,01,04,06,15,18,02,03,"321,712,458","1,745,616,944.75"
25080,2025-07-16,09,10,18,22,24,03,12,"299,028,201","1,723,670,049.40"
25079,2025-07-14,02,14,32,34,35,05,11,"300,459,382","1,685,844,586.78"
